Percentile,Day,Marks,Session
99,1,192,S1
98.5,1,180,S1
98,1,170,S1
97.5,1,162,S1
97,1,156,S1
96.5,1,151,S1
96,1,145,S1
95.5,1,141,S1
95,1,136,S1
94,1,130,S1
93.23,1,125,S1
93,1,124,S1
92,1,118,S1
91,1,113,S1
99,1,200,S2
98.5,1,188,S2
98,1,179,S2
97.5,1,171,S2
97,1,165,S2
96.5,1,160,S2
96,1,155,S2
95.5,1,151,S2
95,1,146,S2
94,1,139,S2
93.23,1,134,S2
92,1,126,S2
91,1,119,S2
90,1,115,S2
99,2,187,S1
98.5,2,174,S1
98,2,165,S1
97.5,2,157,S1
97,2,153,S1
96.5,2,146,S1
96,2,142,S1
95.5,2,138,S1
95,2,134,S1
94,2,127,S1
93.23,2,122,S1
92,2,115,S1
91,2,110,S1
90,2,105,S1
99,2,210,S2
98.5,2,198,S2
98,2,190,S2
97.5,2,183,S2
97,2,177,S2
96.5,2,172,S2
96,2,167,S2
95.5,2,163,S2
95,2,159,S2
94,2,152,S2
93.23,2,146,S2
92,2,140,S2
91,2,133,S2
90,2,129,S2
99,3,215,S1
98.5,3,203,S1
98,3,194,S1
97.5,3,187,S1
97,3,181,S1
96.5,3,176,S1
96,3,171,S1
95.5,3,166,S1
95,3,163,S1
94,3,155,S1
93.23,3,150,S1
92,3,142,S1
91,3,136,S1
90,3,132,S1
99,3,200,S2
98.5,3,188,S2
98,3,179,S2
97.5,3,171,S2
97,3,165,S2
96.5,3,160,S2
96,3,156,S2
95.5,3,151,S2
95,3,147,S2
94,3,139,S2
93.23,3,134,S2
92,3,127,S2
91,3,121,S2
90,3,116,S2
99,4,198,S1
98.5,4,186,S1
98,4,177,S1
97.5,4,170,S1
97,4,165,S1
96.5,4,159,S1
96,4,155,S1
95.5,4,151,S1
95,4,146,S1
94,4,139,S1
93.23,4,133,S1
92,4,126,S1
91,4,120,S1
90,4,115,S1
99,4,208,S2
98.5,4,194,S2
98,4,183,S2
97.5,4,172,S2
97,4,165,S2
96.5,4,159,S2
96,4,152,S2
95.5,4,146,S2
95,4,142,S2
94,4,133,S2
93.23,4,126,S2
92,4,118,S2
91,4,112,S2
90,4,107,S2
99,5,188,S1
98.5,5,173,S1
98,5,164,S1
97.5,5,156,S1
97,5,150,S1
96.5,5,145,S1
96,5,140,S1
95.5,5,135,S1
95,5,131,S1
94,5,123,S1
93.23,5,118,S1
92,5,112,S1
91,5,106,S1
90,5,102,S1
99,5,194,S2
98.5,5,182,S2
98,5,173,S2
97.5,5,166,S2
97,5,160,S2
96.5,5,155,S2
96,5,150,S2
95.5,5,145,S2
95,5,142,S2
94,5,135,S2
93.23,5,130,S2
92,5,123,S2
91,5,118,S2
90,5,114,S2
99.9,1,256,S1
99.8,1,240,S1
99.7,1,233,S1
99.6,1,222,S1
99.5,1,214,S1
99.4,1,209,S1
99.3,1,205,S1
99.2,1,203,S1
99.1,1,196,S1
99,1,192,S1
99.9,1,262,S2
99.8,1,245,S2
99.7,1,234,S2
99.6,1,227,S2
99.5,1,221,S2
99.4,1,216,S2
99.3,1,212,S2
99.2,1,207,S2
99.1,1,203,S2
99,1,200,S2
99.9,2,245,S1
99.8,2,231,S1
99.7,2,223,S1
99.6,2,216,S1
99.5,2,210,S1
99.4,2,204,S1
99.3,2,200,S1
99.2,2,195,S1
99.1,2,191,S1
99,2,187,S1
99.9,2,260,S2
99.8,2,249,S2
99.7,2,239,S2
99.6,2,232,S2
99.5,2,227,S2
99.4,2,223,S2
99.3,2,219,S2
99.2,2,216,S2
99.1,2,213,S2
99,2,210,S2
99.9,3,261,S1
99.8,3,251,S1
99.7,3,243,S1
99.6,3,238,S1
99.5,3,232,S1
99.4,3,229,S1
99.3,3,224,S1
99.2,3,221,S1
99.1,3,215,S1
99,3,200,S1
99.9,3,256,S2
99.8,3,247,S2
99.7,3,232,S2
99.6,3,225,S2
99.5,3,219,S2
99.4,3,213,S2
99.3,3,210,S2
99.2,3,206,S2
99.1,3,202,S2
99,3,200,S2
99.9,4,265,S1
99.8,4,246,S1
99.7,4,235,S1
99.6,4,226,S1
99.5,4,220,S1
99.4,4,213,S1
99.3,4,209,S1
99.2,4,205,S1
99.1,4,200,S1
99,4,198,S1
99.9,4,271,S2
99.8,4,257,S2
99.7,4,248,S2
99.6,4,240,S2
99.5,4,232,S2
99.4,4,227,S2
99.3,4,221,S2
99.2,4,216,S2
99.1,4,212,S2
99,4,208,S2
99.9,5,250,S1
99.8,5,234,S1
99.7,5,222,S1
99.6,5,214,S1
99.5,5,207,S1
99.4,5,202,S1
99.3,5,198,S1
99.2,5,193,S1
99.1,5,190,S1
99,5,186,S1
99.9,5,258,S2
99.8,5,241,S2
99.7,5,232,S2
99.6,5,222,S2
99.5,5,215,S2
99.4,5,210,S2
99.3,5,205,S2
99.2,5,201,S2
99.1,5,198,S2
99,5,194,S2
