Marks,Day,Percentile,Session
236,1,99,S1
223,1,98.5,S1
213,1,98,S1
204,1,97.5,S1
196,1,97,S1
190,1,96.5,S1
184,1,96,S1
178,1,95.5,S1
173,1,95,S1
165,1,94,S1
157,1,93,S1
151,1,92,S1
145,1,91,S1
139,1,90,S1
211,1,99,S2
196,1,98.5,S2
185,1,98,S2
177,1,97.5,S2
170,1,97,S2
164,1,96.5,S2
159,1,96,S2
155,1,95.5,S2
151,1,95,S2
143,1,94,S2
137,1,93,S2
131,1,92,S2
126,1,91,S2
121,1,90,S2
203,2,99,S1
190,2,98.5,S1
180,2,98,S1
171,2,97.5,S1
165,2,97,S1
158,2,96.5,S1
153,2,96,S1
148,2,95.5,S1
144,2,95,S1
137,2,94,S1
130,2,93,S1
124,2,92,S1
119,2,91,S1
114,2,90,S1
212,2,99,S2
199,2,98.5,S2
189,2,98,S2
181,2,97.5,S2
174,2,97,S2
168,2,96.5,S2
163,2,96,S2
158,2,95.5,S2
154,2,95,S2
146,2,94,S2
138,2,93,S2
132,2,92,S2
126,2,91,S2
120,2,90,S2
193,3,99,S1
179,3,98.5,S1
169,3,98,S1
159,3,97.5,S1
152,3,97,S1
146,3,96.5,S1
140,3,96,S1
132,3,95.5,S1
130,3,95,S1
123,3,94,S1
115,3,93,S1
108,3,92,S1
103,3,91,S1
98,3,90,S1
191,3,99,S2
178,3,98.5,S2
167,3,98,S2
158,3,97.5,S2
151,3,97,S2
145,3,96.5,S2
139,3,96,S2
119,3,95.5,S2
129,3,95,S2
121,3,94,S2
113,3,93,S2
105,3,92,S2
102,3,91,S2
97,3,90,S2
170,4,99,S1
158,4,98.5,S1
148,4,98,S1
141,4,97.5,S1
134,4,97,S1
128,4,96.5,S1
123,4,96,S1
119,4,95.5,S1
114,4,95,S1
108,4,94,S1
100,4,93,S1
95,4,92,S1
89,4,91,S1
84,4,90,S1
151,4,99,S2
139,4,98.5,S2
131,4,98,S2
124,4,97.5,S2
118,4,97,S2
114,4,96.5,S2
109,4,96,S2
105,4,95.5,S2
101,4,95,S2
94,4,94,S2
86,4,93,S2
81,4,92,S2
76,4,91,S2
72,4,90,S2
161,5,99,S1
150,5,98.5,S1
141,5,98,S1
133,5,97.5,S1
126,5,97,S1
120,5,96.5,S1
115,5,96,S1
110,5,95.5,S1
106,5,95,S1
98,5,94,S1
91,5,93,S1
85,5,92,S1
79,5,91,S1
74,5,90,S1
172,5,99,S2
161,5,98.5,S2
148,5,98,S2
139,5,97.5,S2
131,5,97,S2
125,5,96.5,S2
120,5,96,S2
115,5,95.5,S2
109,5,95,S2
100,5,94,S2
92,5,93,S2
87,5,92,S2
81,5,91,S2
76,5,90,S2
,5,,
,5,,
