RANK,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
10,92,92,86,86,83,83,86,87,86,84,87,86
100,84,79,66,78,73,73,76,83,69,70,78,76
500,72,67,53,65,60,61,65,77,55,60,69,67
1000,65,61,47,59,53,56,59,73,49,57,63,62
2000,59,53,41,52,46,50,53,67,44,49,57,56
3000,54,48,37,48,43,47,49,63,43,45,54,52
4000,50,45,34,43,39,44,46,60,38,43,51,49
5000,48,43,32,41,37,42,44,58,36,40,49,47
6000,46,41,30,38,36,40,42,55,34,39,47,46
7000,44,39,29,36,33,39,40,54,33,37,46,44
8000,43,37,28,34,32,38,39,52,32,36,44,43
9000,42,36,27,33,31,37,38,50,31,35,43,41
10000,41,35,26,32,30,35,36,49,30,33,42,40
